Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
ALB,2.23E-05,0,0,2,0,0,0,8,17,2,15,0.775041199,0.423610782,0.929912229,0.938738628,0.718931946
COL9A3,3.52E-05,0,1,3,0,0,0,3,30,11,15,0.670516757,0.423529238,0.935772091,0.938741227,0.71903336
LOC646851,2.21E-05,0,0,0,0,0,0,0,0,0,0,0.776795137,0.423497941,0.929727377,0.938743825,0.719142781
NMT2,2.21E-05,0,0,2,0,0,0,3,8,1,1,0.776444004,0.423480684,0.929771402,0.938746422,0.719167868
FAM73A,2.21E-05,0,0,0,0,2,0,2,10,6,3,0.776707338,0.423432653,0.92974079,0.93874902,0.719237256
EMILIN3,3.57E-05,0,1,3,0,0,0,10,21,10,6,0.66678674,0.423409395,0.935895818,0.938751617,0.719318922
E2F3,2.31E-05,0,0,0,0,0,0,0,2,1,1,0.768155124,0.423395427,0.9305115,0.938754214,0.719361089
BTD,2.23E-05,0,0,2,0,0,0,4,22,5,6,0.775304015,0.423339819,0.929891375,0.938756811,0.719420336
LCP1,2.22E-05,0,0,1,0,1,0,3,7,1,2,0.776180768,0.423337112,0.929792417,0.938759407,0.719439018
AMIGO2,2.32E-05,0,0,0,0,0,0,0,2,0,0,0.767548181,0.423327433,0.930579049,0.938762004,0.719488658
ARNTL,2.30E-05,0,0,0,0,0,0,2,7,3,1,0.768936246,0.423314238,0.930463878,0.938764599,0.71950894
GPKOW,2.32E-05,0,0,0,0,0,0,0,1,0,0,0.767634855,0.423279428,0.93056447,0.938767195,0.719570323
CABLES1,2.25E-05,0,0,2,0,0,0,3,17,3,5,0.773728572,0.423243019,0.930027396,0.93876979,0.719631705
PGM5,2.32E-05,0,0,0,0,0,0,1,2,4,1,0.76702836,0.423242761,0.930626339,0.938772385,0.719634908
NPBWR2,2.29E-05,0,0,0,0,0,0,4,18,5,3,0.770066058,0.423233906,0.930370116,0.93877498,0.719646117
CCR10,2.31E-05,0,0,0,0,0,0,1,0,1,0,0.76772154,0.42321046,0.930553526,0.938777574,0.71967921
DENND1A,4.66E-05,0,0,1,0,0,0,5,19,8,5,0.590828918,0.423208396,0.937805673,0.938780168,0.719701628
FIZ1,2.33E-05,0,0,0,0,0,0,0,3,0,1,0.766682025,0.423155011,0.930658998,0.938782762,0.719767814
STAU1,2.34E-05,0,0,0,0,0,0,0,6,0,0,0.765816931,0.423135224,0.930734969,0.938785355,0.719788631
IGSF10,9.12E-05,0,10,17,5,6,0,19,51,24,20,0.364811508,0.423074801,0.940099193,0.938787949,0.719948759
SYN1,2.33E-05,0,0,0,0,0,0,0,3,0,0,0.766768593,0.42303103,0.930657185,0.938790542,0.720011743
ZNF532,6.02E-05,0,1,1,0,1,0,2,9,3,4,0.508963612,0.423000029,0.939078288,0.938793135,0.720091273
GPR146,2.21E-05,0,0,1,0,1,0,5,13,3,3,0.776531771,0.42298019,0.929761842,0.938795727,0.720138778
DIO3,2.22E-05,0,0,0,0,0,0,0,0,0,0,0.775829938,0.422971727,0.929824843,0.93879832,0.720203363
KIAA0408,2.46E-05,0,1,3,1,2,0,1,3,2,3,0.755432988,0.422960794,0.931533013,0.938800912,0.720233253
CSTF2,2.33E-05,0,0,0,0,0,0,0,3,0,0,0.766595468,0.422935516,0.930664436,0.938803503,0.720298372
ARID3A,2.31E-05,0,0,0,0,0,0,0,10,4,2,0.76772154,0.422918503,0.930551701,0.938806095,0.720334668
CCM2,2.29E-05,0,0,0,0,0,0,8,24,3,2,0.769979085,0.422907913,0.93037196,0.938808686,0.720353349
B4GALT2,2.30E-05,0,0,0,0,0,0,3,10,4,3,0.768762588,0.42289147,0.930474876,0.938811277,0.720409928
PRKCI,2.32E-05,0,0,0,0,0,0,0,4,1,1,0.766855171,0.422882598,0.930651746,0.938813867,0.72044569
HTR1B,2.32E-05,0,0,0,0,0,0,1,2,1,1,0.767461518,0.422820274,0.930593613,0.938816457,0.720550307
C3orf58,2.32E-05,0,0,0,0,0,0,0,3,3,1,0.767548181,0.422787241,0.930580871,0.938819047,0.720640512
IRF4,2.33E-05,0,0,0,0,0,0,2,7,0,2,0.766422385,0.422782895,0.930680738,0.938821637,0.720650654
TSHZ2,4.64E-05,0,0,1,0,0,0,11,40,12,7,0.592134779,0.422735457,0.937789041,0.938824227,0.720737657
CCDC127,1.22E-05,0,1,4,0,0,0,1,4,3,3,0.868854051,0.422731093,0.912178673,0.938826816,0.720747798
NMT1,2.32E-05,0,0,0,0,0,0,2,5,1,2,0.767374865,0.422636271,0.93060089,0.938829405,0.720878036
ZFYVE9,4.77E-05,0,0,1,0,0,0,6,13,8,2,0.583702385,0.42262246,0.93795723,0.938831994,0.720899386
ITFG2,2.25E-05,0,0,2,0,0,0,2,9,1,2,0.773728572,0.422616114,0.930033041,0.938834582,0.720914331
HS6ST3,2.24E-05,0,0,0,0,2,0,2,6,1,1,0.774515858,0.422587136,0.929965191,0.938837171,0.720966106
PIP4K2B,2.32E-05,0,0,0,0,0,0,1,2,1,1,0.76694176,0.422533922,0.930640863,0.938839759,0.721096878
ZNF234,2.33E-05,0,0,0,0,0,0,2,8,0,0,0.766249345,0.42250309,0.930704257,0.938842347,0.721184948
ATP6V1A,2.33E-05,0,0,0,0,0,0,0,6,5,0,0.766768593,0.422397838,0.930653559,0.938844935,0.721426741
POC1B-GALNT4,2.34E-05,0,0,0,0,0,0,0,4,0,0,0.765298384,0.422391338,0.930772832,0.938847522,0.721462503
OR5F1,1.23E-05,0,0,3,1,1,0,1,10,4,1,0.86845744,0.422360373,0.912353201,0.93885011,0.721524953
KCNJ11,2.32E-05,0,0,0,0,0,0,5,12,2,0,0.767548181,0.422329703,0.930586333,0.938852697,0.721585268
DSN1,1.24E-05,0,1,4,0,0,0,1,6,1,0,0.867268789,0.422326136,0.91274014,0.938855284,0.721599146
ANO4,3.49E-05,0,0,3,1,0,0,6,19,8,7,0.672990988,0.422290652,0.93571165,0.93885787,0.72165359
SMAD3,2.33E-05,0,0,0,0,0,0,0,4,1,0,0.765989865,0.422284653,0.930715102,0.938860456,0.721677609
CCT3,2.33E-05,0,0,0,0,0,0,2,11,2,2,0.766249345,0.422266484,0.930697024,0.938863042,0.721726715
TRIM39-RPP21,2.33E-05,0,0,0,0,0,0,1,5,2,1,0.766682025,0.422235125,0.930662623,0.938865628,0.721766747
